inside
h3k4me3	1	-0.000235750486853,2.74890447971e-05,0.000152812281817,0.000327189090962,0.000411796842068,0.000336147713848,0.000175141827816,4.42314629308e-05,-8.87594049766e-06,-8.67655355466e-06
h3k4me3	2	-0.000223640878531,-1.52751724152e-05,-0.000240235984037,-0.000614357923548,-0.0071542746812,-0.00717421258529,-0.0463075231199,-0.0165714778185,-0.0569620487368,-0.00283692216287
h3k4me1	1	-0.000245367150907,-4.25924805562e-05,-8.01789396484e-06,0.000130143222333,0.00031313275516,0.000413344779901,0.000361230077842,0.000211214669547,7.57690474979e-05,1.26482564803e-05
h3k4me1	2	-0.00022094409747,-7.35861051476e-06,-0.000166326567049,-2.98109109707e-05,-0.00622176495315,0.00042331400697,-0.0537442791878,0.00500157786953,-0.0888940329183,0.00576355668467
h3k9me3	1	-0.000227233365724,2.27126655494e-06,4.00968662417e-05,0.000139297074063,0.000281321248569,0.00037374323748,0.000334654660679,0.000197043542357,6.94549177971e-05,1.08558353165e-05
h3k9me3	2	-0.000218330420468,-2.93462673655e-06,-4.43233261675e-05,-5.75050511537e-06,-0.00187939346647,0.000679764829048,-0.0194579605161,0.00529152980663,-0.0450040762564,0.00543873791691
h3k36me3	1	-0.000232354422077,-3.23909135593e-06,5.42953528308e-05,0.000202062893075,0.000371175436257,0.000416572211026,0.000292117817514,0.000114181485503,1.20855462737e-05,-5.39194571267e-06
h3k36me3	2	-0.000219963893923,-7.45436803944e-06,-0.000175644641828,-0.0002868288201,-0.00637257262635,-0.00414228213112,-0.0503420242701,-0.0110869478888,-0.0757736021493,-0.000303249065855
bound
h3k4me3	1	-0.000548760536032,-0.000332381403295,-0.000685655869381,-0.000892246863813,-0.000798782189505,-0.000507764857389,-0.000220994584937,-4.91391857705e-05,1.01215316235e-05,9.24315245446e-06
h3k4me3	2	-0.000448195156563,-8.34592326606e-06,-0.000162911859043,0.000498806422704,-0.00396771282252,0.00683293956187,-0.023247241594,0.0167346228665,-0.0259150401143,0.00328633702061
h3k4me1	1	-0.000527513885755,-0.000262252639219,-0.000529724258432,-0.000721976866863,-0.000741766400992,-0.000603847126909,-0.000386021240042,-0.000181232384382,-5.44317993877e-05,-7.59420406332e-06
h3k4me1	2	-0.000442907340453,-1.5654858992e-05,-6.18902561793e-05,-5.67837466724e-05,-0.00124170140293,0.000101526405432,-0.0101874408432,-0.000906342499376,-0.0180856290467,-0.00332181247454
h3k9me3	1	-0.000465684126336,-4.03145896447e-05,-0.000137540995507,-0.000356703531543,-0.000659869291438,-0.000864365392434,-0.000791595852945,-0.000486698996385,-0.000182028341527,-3.15596882864e-05
h3k9me3	2	-0.00043790261781,-5.4291669716e-06,-1.5972835146e-05,-0.000104625473416,-0.000256409038016,-0.00295300210382,-0.00212967683536,-0.0187572651848,-0.00586941109702,-0.0153546578252
h3k36me3	1	-0.0004928832638,-0.000166432303295,-0.000447596732039,-0.000766152613206,-0.000893357189705,-0.000726739099009,-0.000399383154158,-0.000125677596788,-5.8116473773e-06,7.67279333358e-06
h3k36me3	2	-0.000440736815609,-5.85714928111e-06,-8.2076140221e-05,0.000295930479711,-0.00255680888013,0.00467967912293,-0.0195166325684,0.0132303016246,-0.0279761564613,0.00156185992081
empty
h3k4me3	1	0.000784511022902,0.000304892358518,0.000532843587608,0.000565057772911,0.000386985347496,0.000171617143584,4.58527571486e-05,4.90772285572e-06,-1.24559111809e-06,-5.66598897656e-07
h3k4me3	2	0.000670602299591,2.36210956825e-05,3.40123524905e-05,0.000115551500876,-0.000227757018862,0.000341273023827,-0.00269493027269,-0.000163145046713,-0.00403641175341,-0.000449414857206
h3k4me1	1	0.000772881036678,0.00030484511979,0.000537742152428,0.000591833644576,0.000428633645886,0.000190502347061,2.47911622413e-05,-2.99822851399e-05,-2.13372481e-05,-5.05405241492e-06
h3k4me1	2	0.000663397420524,2.30134695077e-05,5.07569055486e-05,8.65946576673e-05,0.000132166735854,-0.000524840412016,-0.000696796546894,-0.00409523536856,-0.00235008751872,-0.00244174420922
h3k9me3	1	0.000692917492071,3.80433230931e-05,9.74441292776e-05,0.000217406457512,0.000378548042926,0.000490622155025,0.000456941192326,0.000289655454062,0.000112573423741,2.07038529718e-05
h3k9me3	2	0.000656053891933,8.36379370843e-06,-1.05314331996e-05,0.000110375978537,-0.00111706548386,0.0022732372749,-0.013784097565,0.013465735379,-0.0338258265361,0.00991591990924
h3k36me3	1	0.000725237685891,0.000169671394661,0.000393301379236,0.00056408972018,0.00052218175351,0.000310166888041,0.000107265336685,1.14961113081e-05,-6.27389888743e-06,-2.28084761908e-06
h3k36me3	2	0.000660026167717,1.33115173213e-05,1.52902501821e-05,-9.10165959005e-06,-0.000145301868422,-0.000537396991462,-0.00146251940973,-0.00214335373437,-0.00278014825234,-0.0012586108542
